letter,normal_gematria,fill_gematria,small_gematria,small_Values
א,1,111,1,13
ב,2,412,2,410
ג,3,83,3,641
ד,4,434,4,278
ה,5,6,5,363
ו,6,22,6,615
ז,7,67,7,377
ח,8,418,8,401
ט,9,419,9,775
י,10,20,1,575
כ,20,100,2,583
ל,30,74,3,980
מ,40,80,4,1211
נ,50,106,5,848
ס,60,120,6,933
ע,70,130,7,1185
פ,80,81,8,947
צ,90,104,9,971
ק,100,186,1,1345
ר,200,510,2,620
ש,300,360,3,639
ת,400,416,4,1036
ך,20,100,2,1267
ם,40,80,4,904
ן,50,106,5,989
ף,80,81,8,1003
ץ,90,104,9,1241
